| Sr  | Circular No.                      | Date                 | Subject                                                                                                                                                                           |
|-----|-----------------------------------|----------------------|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
| No. |                                   |                      |                                                                                                                                                                                   |
| 87 | UBD(PCB)86/<br>DC(HG-9)-90/91<br>UBD(PCB)85/<br>DC(HG.9)-90/91   | May 23,<br>1991       | Interest Rates on Advances                                                                                                                                                                          |
| 88 | DBOD.No.Dir.BC.136/<br>C.96-91<br>DBOD.No.Dir.BC.137/<br>C.96-91 | June 25,<br>1991      | Interest Rates on Advances                                                                                                                                                                          |
| 89 | DBOD.No.Dir.BC.6/<br>C.96-91<br>DBOD.No.Dir.BC.7/                | July 04,<br>1991      | Interest Rates on Advances                                                                                                                                                                          |
|    | C.96-91                                                          |                       |                                                                                                                                                                                                     |

| 90  | UBD(PCB)5/                     | July 22,              | Interest Rates on Advances                   |
|-----|--------------------------------|-----------------------|----------------------------------------------|
|     | DC(HG.9)-91/92                 | 1991                  |                                              |
|     | UBD(PCB)4/                     |                       |                                              |
|     | DC(HG.9)91-92                  |                       |                                              |
| 91  | UBD.(PCB)10/<br>DC(HG.9)1/92   | August 07,<br>1991    | Interest Rates on Advances                   |
| 92  | DBOD.No.Dir.BC.16/             | August 16,            | Interest Rates on Advances                   |
|     | C.96-91                        | 1991                  |                                              |
|     | DBOD.No.Dir.BC.17/             |                       |                                              |
|     | C.96-91                        |                       |                                              |
| 93  | DBOD.No.Dir.BC.25/<br>C.96-91  | September 12,<br>1991 | Interest Rates on Advances                   |
| 94  | DBOD.No.Dir.BC.27/             | September 21,         | Interest Rates on Advances                   |
|     | C.96-91                        | 1991                  |                                              |
|     | DBOD.No.Dir.BC.28/             |                       |                                              |
|     | C.96-91                        |                       |                                              |
| 95  | DBOD.No.Dir.BC.33/<br>C.96-91  | October 08,<br>1991   | Interest Rates on Advances                   |
|     |                                |                       |                                              |
|     | DBOD.No.Dir.BC.34/             |                       |                                              |
| 96  | C.96-91<br>UBD.(PCB)33/        | October 31,           | Interest Rates on Advances                   |
|     | DC(HG-9)-91/92                 | 1991                  |                                              |
| 97  | UBD(PCB)35/                    | November 04,          | Interest Rates on Advances                   |
|     | DC(HG.9)-91/92                 | 1991                  |                                              |
|     | UBD(PCB)36/                    |                       |                                              |
|     | DC(HG.9)-91/92                 |                       |                                              |
| 98  | UBD.(SUC)49/                   | November 30,          | Advances<br>against<br>FCNRA                 |
|     | DC/V.1(B)-91/92                | 1991                  | Deposits -<br>Manner of Charging<br>Interest |
|     | UBD(SUC)48/                    |                       |                                              |
|     | DC/V.1(B)-91/92                |                       |                                              |
| 99  | DBOD.No.BC.108/                | April 13,             | Advances<br>against<br>FCNR/NRE              |
|     | 13.01.09/92                    | 1992                  | Deposits -<br>Manner of Charging             |
| 100 | UBD.No.(PCB)61/                | April 21,             | Interest<br>Interest Rates on Advances       |
|     | DC.(HG.9)-91/92                | 1992                  |                                              |
|     |                                |                       |                                              |
|     | UBD.(PCB)62/<br>DC(HG.9)-91/92 |                       |                                              |
| 101 | DBOD.No.BC.85/                 | February 27,          | Interest Rates on Advances                   |
|     | 13.07.01/93                    | 1993                  |                                              |
|     | DBOD.No.BC.86/                 |                       |                                              |
|     | 13.07.01/93                    |                       |                                              |

| 102 | DBOD.No.BC.99/<br>13.07.01/93             | April 07,<br>1993     | Interest Rates on Advances                                                                      |
|-----|-------------------------------------------|-----------------------|-------------------------------------------------------------------------------------------------|
|     | DBOD.No.BC.100/                           |                       |                                                                                                 |
|     | 13.07.01/93                               |                       |                                                                                                 |
| 103 | DBOD.No.BC.132/<br>13.07.01/93            | June 23,<br>1993      | Interest Rates on Advances                                                                      |
|     | DBOD.No.BC.133/<br>13.07.01/93            |                       |                                                                                                 |
| 104 | DBOD.No.BC.156/<br>13.07.01/93            | September 01,<br>1993 | Interest Rates on Advances                                                                      |
|     | DBOD.No.BC.157/<br>13.07.01/93            |                       |                                                                                                 |
| 105 | UBD.No.(PCB)30/<br>13.04.00-93/94         | November 04,<br>1993  | Interest<br>Rates<br>on<br>Advances<br>-<br>Discretion in the Rate of Interest to<br>be Charged |
| 106 | UBD.No.(PCB)DC.64/<br>(13.04.00)93-94     | February 28,<br>1994  | Interest Rates on Advances                                                                      |
|     | UBD.No.(PCB)DIR.2/<br>(13.04.00)/93-94    |                       |                                                                                                 |
| 107 | DBOD.No.BC.19/<br>13.07.01/94             | February 28,<br>1994  | Interest Rates on Advances                                                                      |
|     | DBOD.No.BC.20/<br>13.07.01/94             |                       |                                                                                                 |
| 108 | DBOD.No.BC.65/<br>13.07.01-94             | May 20,<br>1994       | Interest Rates on Advances                                                                      |
|     | DBOD.No.BC.66/<br>13.07.01/94             |                       |                                                                                                 |
| 109 | UBD.No.DS.CIR.PCB.7/<br>13.04.00/94-95    | July 22,<br>1994      | Interest Rates on Advances                                                                      |
| 110 | UBD No.DS.PCB.CIR.64/<br>13.04.00/94-95   | June 20,<br>1995      | Interest Rates on Advances                                                                      |
| 111 | UBD No.DS(PCB) DIR.19/<br>13.04.00/94-95  | June 20,<br>1995      | Interest Rates on Advances                                                                      |
| 112 | DBOD.No.Dir.BC.97/<br>13.07.01/95         | September 12,<br>1995 | Interest Rates on Advances                                                                      |
|     | DBOD.No.Dir.BC.98/<br>13.07.01/95         |                       |                                                                                                 |
